year,city,country,avg_temp
1823,Taiyuan,China,7.12
1824,Taiyuan,China,8.12
1825,Taiyuan,China,7.89
1826,Taiyuan,China,7.81
1827,Taiyuan,China,8.36
1828,Taiyuan,China,7.58
1829,Taiyuan,China,7.41
1830,Taiyuan,China,8.01
1831,Taiyuan,China,6.74
1832,Taiyuan,China,6.93
1833,Taiyuan,China,7.30
1834,Taiyuan,China,7.65
1835,Taiyuan,China,6.95
1836,Taiyuan,China,7.33
1837,Taiyuan,China,7.12
1838,Taiyuan,China,13.46
1839,Taiyuan,China,6.89
1840,Taiyuan,China,7.37
1841,Taiyuan,China,6.47
1842,Taiyuan,China,7.57
1843,Taiyuan,China,7.65
1844,Taiyuan,China,7.67
1845,Taiyuan,China,7.53
1846,Taiyuan,China,8.08
1847,Taiyuan,China,7.90
1848,Taiyuan,China,7.49
1849,Taiyuan,China,7.57
1850,Taiyuan,China,7.04
1851,Taiyuan,China,6.85
1852,Taiyuan,China,7.00
1853,Taiyuan,China,7.27
1854,Taiyuan,China,7.79
1855,Taiyuan,China,7.86
1856,Taiyuan,China,7.52
1857,Taiyuan,China,7.42
1858,Taiyuan,China,7.75
1859,Taiyuan,China,7.96
1860,Taiyuan,China,6.74
1861,Taiyuan,China,7.08
1862,Taiyuan,China,6.66
1863,Taiyuan,China,7.88
1864,Taiyuan,China,7.03
1865,Taiyuan,China,7.54
1866,Taiyuan,China,7.79
1867,Taiyuan,China,8.25
1868,Taiyuan,China,7.85
1869,Taiyuan,China,8.22
1870,Taiyuan,China,7.50
1871,Taiyuan,China,7.80
1872,Taiyuan,China,7.66
1873,Taiyuan,China,8.10
1874,Taiyuan,China,8.04
1875,Taiyuan,China,7.89
1876,Taiyuan,China,8.14
1877,Taiyuan,China,7.39
1878,Taiyuan,China,7.64
1879,Taiyuan,China,7.80
1880,Taiyuan,China,7.34
1881,Taiyuan,China,7.64
1882,Taiyuan,China,7.94
1883,Taiyuan,China,7.42
1884,Taiyuan,China,7.04
1885,Taiyuan,China,7.18
1886,Taiyuan,China,7.45
1887,Taiyuan,China,7.45
1888,Taiyuan,China,7.35
1889,Taiyuan,China,7.29
1890,Taiyuan,China,8.01
1891,Taiyuan,China,8.06
1892,Taiyuan,China,7.35
1893,Taiyuan,China,7.41
1894,Taiyuan,China,8.19
1895,Taiyuan,China,7.18
1896,Taiyuan,China,7.62
1897,Taiyuan,China,7.45
1898,Taiyuan,China,8.20
1899,Taiyuan,China,8.21
1900,Taiyuan,China,7.79
1901,Taiyuan,China,7.83
1902,Taiyuan,China,8.51
1903,Taiyuan,China,7.81
1904,Taiyuan,China,7.69
1905,Taiyuan,China,7.15
1906,Taiyuan,China,7.36
1907,Taiyuan,China,7.80
1908,Taiyuan,China,7.46
1909,Taiyuan,China,7.52
1910,Taiyuan,China,7.11
1911,Taiyuan,China,7.24
1912,Taiyuan,China,7.10
1913,Taiyuan,China,7.63
1914,Taiyuan,China,8.24
1915,Taiyuan,China,7.42
1916,Taiyuan,China,7.46
1917,Taiyuan,China,7.36
1918,Taiyuan,China,7.10
1919,Taiyuan,China,7.93
1920,Taiyuan,China,8.32
1921,Taiyuan,China,7.85
1922,Taiyuan,China,8.15
1923,Taiyuan,China,7.84
1924,Taiyuan,China,8.20
1925,Taiyuan,China,7.72
1926,Taiyuan,China,8.06
1927,Taiyuan,China,8.18
1928,Taiyuan,China,8.37
1929,Taiyuan,China,8.12
1930,Taiyuan,China,7.98
1931,Taiyuan,China,7.92
1932,Taiyuan,China,8.43
1933,Taiyuan,China,8.04
1934,Taiyuan,China,7.59
1935,Taiyuan,China,8.29
1936,Taiyuan,China,7.41
1937,Taiyuan,China,8.09
1938,Taiyuan,China,8.37
1939,Taiyuan,China,8.48
1940,Taiyuan,China,8.61
1941,Taiyuan,China,8.86
1942,Taiyuan,China,8.70
1943,Taiyuan,China,8.51
1944,Taiyuan,China,7.68
1945,Taiyuan,China,8.57
1946,Taiyuan,China,8.74
1947,Taiyuan,China,7.68
1948,Taiyuan,China,8.68
1949,Taiyuan,China,8.48
1950,Taiyuan,China,8.01
1951,Taiyuan,China,7.76
1952,Taiyuan,China,7.76
1953,Taiyuan,China,8.17
1954,Taiyuan,China,7.61
1955,Taiyuan,China,8.52
1956,Taiyuan,China,7.34
1957,Taiyuan,China,7.89
1958,Taiyuan,China,8.31
1959,Taiyuan,China,8.40
1960,Taiyuan,China,8.54
1961,Taiyuan,China,9.01
1962,Taiyuan,China,8.08
1963,Taiyuan,China,8.13
1964,Taiyuan,China,7.97
1965,Taiyuan,China,8.63
1966,Taiyuan,China,8.44
1967,Taiyuan,China,7.50
1968,Taiyuan,China,8.07
1969,Taiyuan,China,7.68
1970,Taiyuan,China,7.78
1971,Taiyuan,China,7.97
1972,Taiyuan,China,8.21
1973,Taiyuan,China,8.63
1974,Taiyuan,China,8.03
1975,Taiyuan,China,8.53
1976,Taiyuan,China,7.53
1977,Taiyuan,China,8.40
1978,Taiyuan,China,8.51
1979,Taiyuan,China,8.33
1980,Taiyuan,China,8.07
1981,Taiyuan,China,8.14
1982,Taiyuan,China,8.73
1983,Taiyuan,China,8.35
1984,Taiyuan,China,7.44
1985,Taiyuan,China,7.85
1986,Taiyuan,China,7.91
1987,Taiyuan,China,8.91
1988,Taiyuan,China,8.17
1989,Taiyuan,China,8.63
1990,Taiyuan,China,8.89
1991,Taiyuan,China,8.51
1992,Taiyuan,China,8.30
1993,Taiyuan,China,7.95
1994,Taiyuan,China,9.03
1995,Taiyuan,China,8.67
1996,Taiyuan,China,8.14
1997,Taiyuan,China,9.29
1998,Taiyuan,China,9.84
1999,Taiyuan,China,9.89
2000,Taiyuan,China,8.93
2001,Taiyuan,China,9.41
2002,Taiyuan,China,9.49
2003,Taiyuan,China,8.58
2004,Taiyuan,China,9.13
2005,Taiyuan,China,9.08
2006,Taiyuan,China,9.79
2007,Taiyuan,China,9.66
2008,Taiyuan,China,8.80
2009,Taiyuan,China,9.10
2010,Taiyuan,China,9.08
2011,Taiyuan,China,8.64
2012,Taiyuan,China,8.54
2013,Taiyuan,China,11.03
1820,Tangshan,China,9.72
1821,Tangshan,China,11.26
1822,Tangshan,China,11.26
1823,Tangshan,China,10.73
1824,Tangshan,China,11.71
1825,Tangshan,China,11.49
1826,Tangshan,China,11.41
1827,Tangshan,China,11.96
1828,Tangshan,China,11.19
1829,Tangshan,China,11.01
1830,Tangshan,China,11.60
1831,Tangshan,China,10.36
1832,Tangshan,China,9.87
1833,Tangshan,China,10.93
1834,Tangshan,China,11.26
1835,Tangshan,China,10.54
1836,Tangshan,China,10.23
1837,Tangshan,China,14.92
1838,Tangshan,China,
1839,Tangshan,China,10.47
1840,Tangshan,China,10.99
1841,Tangshan,China,10.05
1842,Tangshan,China,11.13
1843,Tangshan,China,11.22
1844,Tangshan,China,11.27
1845,Tangshan,China,11.15
1846,Tangshan,China,11.68
1847,Tangshan,China,11.55
1848,Tangshan,China,11.14
1849,Tangshan,China,11.20
1850,Tangshan,China,10.61
1851,Tangshan,China,10.41
1852,Tangshan,China,10.57
1853,Tangshan,China,10.88
1854,Tangshan,China,11.39
1855,Tangshan,China,11.48
1856,Tangshan,China,11.13
1857,Tangshan,China,11.06
1858,Tangshan,China,11.35
1859,Tangshan,China,11.55
1860,Tangshan,China,10.31
1861,Tangshan,China,10.66
1862,Tangshan,China,10.29
1863,Tangshan,China,11.46
1864,Tangshan,China,10.65
1865,Tangshan,China,11.13
1866,Tangshan,China,11.35
1867,Tangshan,China,11.81
1868,Tangshan,China,11.45
1869,Tangshan,China,11.86
1870,Tangshan,China,11.17
1871,Tangshan,China,11.41
1872,Tangshan,China,11.27
1873,Tangshan,China,11.62
1874,Tangshan,China,11.58
1875,Tangshan,China,11.48
1876,Tangshan,China,11.83
1877,Tangshan,China,10.99
1878,Tangshan,China,11.18
1879,Tangshan,China,11.39
1880,Tangshan,China,10.90
1881,Tangshan,China,11.20
1882,Tangshan,China,11.54
1883,Tangshan,China,11.02
1884,Tangshan,China,10.61
1885,Tangshan,China,10.75
1886,Tangshan,China,11.03
1887,Tangshan,China,11.05
1888,Tangshan,China,10.93
1889,Tangshan,China,10.88
1890,Tangshan,China,11.66
1891,Tangshan,China,11.72
1892,Tangshan,China,10.99
1893,Tangshan,China,10.88
1894,Tangshan,China,11.85
1895,Tangshan,China,10.70
1896,Tangshan,China,11.16
1897,Tangshan,China,11.09
1898,Tangshan,China,11.98
1899,Tangshan,China,11.95
1900,Tangshan,China,11.49
1901,Tangshan,China,11.41
1902,Tangshan,China,12.20
1903,Tangshan,China,11.57
1904,Tangshan,China,11.36
1905,Tangshan,China,10.86
1906,Tangshan,China,10.98
1907,Tangshan,China,11.40
1908,Tangshan,China,11.07
1909,Tangshan,China,11.08
1910,Tangshan,China,10.74
1911,Tangshan,China,10.76
1912,Tangshan,China,10.79
1913,Tangshan,China,11.20
1914,Tangshan,China,11.88
1915,Tangshan,China,10.98
1916,Tangshan,China,10.96
1917,Tangshan,China,10.85
1918,Tangshan,China,10.75
1919,Tangshan,China,11.71
1920,Tangshan,China,12.04
1921,Tangshan,China,11.43
1922,Tangshan,China,11.69
1923,Tangshan,China,11.39
1924,Tangshan,China,11.68
1925,Tangshan,China,11.36
1926,Tangshan,China,11.66
1927,Tangshan,China,11.80
1928,Tangshan,China,11.85
1929,Tangshan,China,11.71
1930,Tangshan,China,11.66
1931,Tangshan,China,11.46
1932,Tangshan,China,11.88
1933,Tangshan,China,11.38
1934,Tangshan,China,11.13
1935,Tangshan,China,11.99
1936,Tangshan,China,10.92
1937,Tangshan,China,11.63
1938,Tangshan,China,12.00
1939,Tangshan,China,12.09
1940,Tangshan,China,12.19
1941,Tangshan,China,12.40
1942,Tangshan,China,12.28
1943,Tangshan,China,12.10
1944,Tangshan,China,11.45
1945,Tangshan,China,12.12
1946,Tangshan,China,12.31
1947,Tangshan,China,11.02
1948,Tangshan,China,12.33
1949,Tangshan,China,12.14
1950,Tangshan,China,11.71
1951,Tangshan,China,11.43
1952,Tangshan,China,11.33
1953,Tangshan,China,11.75
1954,Tangshan,China,11.16
1955,Tangshan,China,12.08
1956,Tangshan,China,10.84
1957,Tangshan,China,11.32
1958,Tangshan,China,11.89
1959,Tangshan,China,12.09
1960,Tangshan,China,12.08
1961,Tangshan,China,12.71
1962,Tangshan,China,11.83
1963,Tangshan,China,11.84
1964,Tangshan,China,11.25
1965,Tangshan,China,12.26
1966,Tangshan,China,11.96
1967,Tangshan,China,11.43
1968,Tangshan,China,11.88
1969,Tangshan,China,10.94
1970,Tangshan,China,11.31
1971,Tangshan,China,11.57
1972,Tangshan,China,11.69
1973,Tangshan,China,12.06
1974,Tangshan,China,11.61
1975,Tangshan,China,12.33
1976,Tangshan,China,11.18
1977,Tangshan,China,12.03
1978,Tangshan,China,12.24
1979,Tangshan,China,11.79
1980,Tangshan,China,11.65
1981,Tangshan,China,11.91
1982,Tangshan,China,12.39
1983,Tangshan,China,12.30
1984,Tangshan,China,11.20
1985,Tangshan,China,11.38
1986,Tangshan,China,11.73
1987,Tangshan,China,12.31
1988,Tangshan,China,11.98
1989,Tangshan,China,12.33
1990,Tangshan,China,12.32
1991,Tangshan,China,12.01
1992,Tangshan,China,12.10
1993,Tangshan,China,11.87
1994,Tangshan,China,12.78
1995,Tangshan,China,12.45
1996,Tangshan,China,11.92
1997,Tangshan,China,12.84
1998,Tangshan,China,13.43
1999,Tangshan,China,13.36
2000,Tangshan,China,12.51
2001,Tangshan,China,12.85
2002,Tangshan,China,13.08
2003,Tangshan,China,12.18
2004,Tangshan,China,12.75
2005,Tangshan,China,12.63
2006,Tangshan,China,13.22
2007,Tangshan,China,13.27
2008,Tangshan,China,12.62
2009,Tangshan,China,12.63
2010,Tangshan,China,12.38
2011,Tangshan,China,12.26
2012,Tangshan,China,12.13
2013,Tangshan,China,14.25
1820,Tianjin,China,10.18
1821,Tianjin,China,11.51
1822,Tianjin,China,11.50
1823,Tianjin,China,10.96
1824,Tianjin,China,11.96
1825,Tianjin,China,11.73
1826,Tianjin,China,11.65
1827,Tianjin,China,12.20
1828,Tianjin,China,11.42
1829,Tianjin,China,11.26
1830,Tianjin,China,11.81
1831,Tianjin,China,10.57
1832,Tianjin,China,10.69
1833,Tianjin,China,11.14
1834,Tianjin,China,11.52
1835,Tianjin,China,10.79
1836,Tianjin,China,11.17
1837,Tianjin,China,10.93
1838,Tianjin,China,
1839,Tianjin,China,10.63
1840,Tianjin,China,11.29
1841,Tianjin,China,10.15
1842,Tianjin,China,11.31
1843,Tianjin,China,11.45
1844,Tianjin,China,11.57
1845,Tianjin,China,11.43
1846,Tianjin,China,11.95
1847,Tianjin,China,11.88
1848,Tianjin,China,11.56
1849,Tianjin,China,11.53
1850,Tianjin,China,10.68
1851,Tianjin,China,10.44
1852,Tianjin,China,10.65
1853,Tianjin,China,10.95
1854,Tianjin,China,11.60
1855,Tianjin,China,11.82
1856,Tianjin,China,11.42
1857,Tianjin,China,11.30
1858,Tianjin,China,11.66
1859,Tianjin,China,11.80
1860,Tianjin,China,10.40
1861,Tianjin,China,10.81
1862,Tianjin,China,10.62
1863,Tianjin,China,11.81
1864,Tianjin,China,10.97
1865,Tianjin,China,11.30
1866,Tianjin,China,11.56
1867,Tianjin,China,12.01
1868,Tianjin,China,11.66
1869,Tianjin,China,12.12
1870,Tianjin,China,11.42
1871,Tianjin,China,11.55
1872,Tianjin,China,11.39
1873,Tianjin,China,11.76
1874,Tianjin,China,11.82
1875,Tianjin,China,11.78
1876,Tianjin,China,12.28
1877,Tianjin,China,11.27
1878,Tianjin,China,11.38
1879,Tianjin,China,11.53
1880,Tianjin,China,11.14
1881,Tianjin,China,11.36
1882,Tianjin,China,11.84
1883,Tianjin,China,11.25
1884,Tianjin,China,10.82
1885,Tianjin,China,11.07
1886,Tianjin,China,11.41
1887,Tianjin,China,11.33
1888,Tianjin,China,11.13
1889,Tianjin,China,11.09
1890,Tianjin,China,11.98
1891,Tianjin,China,12.00
1892,Tianjin,China,11.21
1893,Tianjin,China,10.96
1894,Tianjin,China,12.13
1895,Tianjin,China,10.86
1896,Tianjin,China,11.34
1897,Tianjin,China,11.37
1898,Tianjin,China,12.49
1899,Tianjin,China,12.48
1900,Tianjin,China,12.01
1901,Tianjin,China,11.71
1902,Tianjin,China,12.66
1903,Tianjin,China,12.12
1904,Tianjin,China,11.69
1905,Tianjin,China,11.25
1906,Tianjin,China,11.32
1907,Tianjin,China,11.60
1908,Tianjin,China,11.32
1909,Tianjin,China,11.15
1910,Tianjin,China,11.08
1911,Tianjin,China,10.93
1912,Tianjin,China,10.95
1913,Tianjin,China,11.29
1914,Tianjin,China,12.07
1915,Tianjin,China,10.98
1916,Tianjin,China,11.13
1917,Tianjin,China,10.97
1918,Tianjin,China,11.21
1919,Tianjin,China,11.91
1920,Tianjin,China,12.28
1921,Tianjin,China,11.85
1922,Tianjin,China,11.78
1923,Tianjin,China,11.48
1924,Tianjin,China,11.74
1925,Tianjin,China,11.63
1926,Tianjin,China,11.95
1927,Tianjin,China,12.00
1928,Tianjin,China,11.69
1929,Tianjin,China,11.90
1930,Tianjin,China,12.01
1931,Tianjin,China,11.45
1932,Tianjin,China,11.96
1933,Tianjin,China,11.22
1934,Tianjin,China,11.40
1935,Tianjin,China,12.37
1936,Tianjin,China,11.08
1937,Tianjin,China,11.79
1938,Tianjin,China,12.14
1939,Tianjin,China,12.37
1940,Tianjin,China,12.25
1941,Tianjin,China,12.39
1942,Tianjin,China,12.41
1943,Tianjin,China,12.56
1944,Tianjin,China,11.95
1945,Tianjin,China,12.34
1946,Tianjin,China,12.51
1947,Tianjin,China,10.83
1948,Tianjin,China,12.57
1949,Tianjin,China,12.39
1950,Tianjin,China,11.90
1951,Tianjin,China,12.02
1952,Tianjin,China,11.71
1953,Tianjin,China,11.96
1954,Tianjin,China,11.34
1955,Tianjin,China,12.21
1956,Tianjin,China,10.84
1957,Tianjin,China,11.16
1958,Tianjin,China,12.10
1959,Tianjin,China,12.39
1960,Tianjin,China,12.24
1961,Tianjin,China,12.95
1962,Tianjin,China,12.24
1963,Tianjin,China,12.36
1964,Tianjin,China,11.63
1965,Tianjin,China,12.36
1966,Tianjin,China,11.87
1967,Tianjin,China,11.69
1968,Tianjin,China,12.13
1969,Tianjin,China,10.86
1970,Tianjin,China,11.47
1971,Tianjin,China,11.86
1972,Tianjin,China,11.99
1973,Tianjin,China,12.17
1974,Tianjin,China,11.79
1975,Tianjin,China,12.99
1976,Tianjin,China,11.59
1977,Tianjin,China,12.34
1978,Tianjin,China,12.42
1979,Tianjin,China,11.89
1980,Tianjin,China,11.85
1981,Tianjin,China,12.22
1982,Tianjin,China,12.74
1983,Tianjin,China,12.86
1984,Tianjin,China,11.70
1985,Tianjin,China,11.44
1986,Tianjin,China,12.03
1987,Tianjin,China,12.35
1988,Tianjin,China,12.51
1989,Tianjin,China,13.07
1990,Tianjin,China,12.72
1991,Tianjin,China,12.36
1992,Tianjin,China,12.48
1993,Tianjin,China,12.47
1994,Tianjin,China,13.29
1995,Tianjin,China,12.81
1996,Tianjin,China,12.31
1997,Tianjin,China,13.06
1998,Tianjin,China,13.55
1999,Tianjin,China,13.40
2000,Tianjin,China,12.88
2001,Tianjin,China,13.06
2002,Tianjin,China,13.39
2003,Tianjin,China,12.84
2004,Tianjin,China,13.29
2005,Tianjin,China,12.89
2006,Tianjin,China,13.25
2007,Tianjin,China,13.70
2008,Tianjin,China,13.12
2009,Tianjin,China,12.97
2010,Tianjin,China,12.25
2011,Tianjin,China,12.77
2012,Tianjin,China,12.29
2013,Tianjin,China,14.14
1841,Wuhan,China,15.86
1842,Wuhan,China,16.31
1843,Wuhan,China,16.41
1844,Wuhan,China,16.18
1845,Wuhan,China,16.20
1846,Wuhan,China,16.75
1847,Wuhan,China,16.53
1848,Wuhan,China,15.98
1849,Wuhan,China,16.28
1850,Wuhan,China,16.38
1851,Wuhan,China,16.31
1852,Wuhan,China,16.37
1853,Wuhan,China,16.78
1854,Wuhan,China,16.78
1855,Wuhan,China,16.49
1856,Wuhan,China,16.14
1857,Wuhan,China,16.52
1858,Wuhan,China,16.34
1859,Wuhan,China,16.59
1860,Wuhan,China,16.11
1861,Wuhan,China,16.15
1862,Wuhan,China,15.46
1863,Wuhan,China,16.15
1864,Wuhan,China,15.84
1865,Wuhan,China,16.65
1866,Wuhan,China,16.51
1867,Wuhan,China,16.83
1868,Wuhan,China,16.82
1869,Wuhan,China,16.93
1870,Wuhan,China,16.86
1871,Wuhan,China,16.94
1872,Wuhan,China,16.94
1873,Wuhan,China,16.69
1874,Wuhan,China,16.64
1875,Wuhan,China,16.54
1876,Wuhan,China,16.47
1877,Wuhan,China,16.36
1878,Wuhan,China,16.50
1879,Wuhan,China,16.90
1880,Wuhan,China,16.10
1881,Wuhan,China,16.52
1882,Wuhan,China,16.41
1883,Wuhan,China,16.14
1884,Wuhan,China,15.75
1885,Wuhan,China,15.82
1886,Wuhan,China,15.95
1887,Wuhan,China,16.39
1888,Wuhan,China,16.63
1889,Wuhan,China,16.40
1890,Wuhan,China,16.86
1891,Wuhan,China,16.71
1892,Wuhan,China,16.36
1893,Wuhan,China,16.09
1894,Wuhan,China,16.74
1895,Wuhan,China,16.25
1896,Wuhan,China,16.57
1897,Wuhan,China,16.49
1898,Wuhan,China,16.95
1899,Wuhan,China,16.66
1900,Wuhan,China,16.55
1901,Wuhan,China,16.43
1902,Wuhan,China,17.23
1903,Wuhan,China,16.40
1904,Wuhan,China,16.53
1905,Wuhan,China,15.88
1906,Wuhan,China,16.33
1907,Wuhan,China,16.55
1908,Wuhan,China,16.69
1909,Wuhan,China,16.73
1910,Wuhan,China,16.05
1911,Wuhan,China,16.23
1912,Wuhan,China,16.48
1913,Wuhan,China,16.50
1914,Wuhan,China,17.37
1915,Wuhan,China,16.69
1916,Wuhan,China,16.11
1917,Wuhan,China,16.23
1918,Wuhan,China,16.31
1919,Wuhan,China,17.00
1920,Wuhan,China,16.66
1921,Wuhan,China,16.66
1922,Wuhan,China,17.14
1923,Wuhan,China,17.01
1924,Wuhan,China,16.82
1925,Wuhan,China,17.12
1926,Wuhan,China,17.07
1927,Wuhan,China,17.14
1928,Wuhan,China,17.42
1929,Wuhan,China,16.84
1930,Wuhan,China,16.77
1931,Wuhan,China,16.42
1932,Wuhan,China,17.04
1933,Wuhan,China,16.61
1934,Wuhan,China,16.89
1935,Wuhan,China,17.17
1936,Wuhan,China,16.66
1937,Wuhan,China,16.77
1938,Wuhan,China,17.43
1939,Wuhan,China,17.12
1940,Wuhan,China,17.33
1941,Wuhan,China,17.41
1942,Wuhan,China,17.40
1943,Wuhan,China,17.13
1944,Wuhan,China,16.86
1945,Wuhan,China,17.20
1946,Wuhan,China,17.80
1947,Wuhan,China,17.15
1948,Wuhan,China,17.23
1949,Wuhan,China,17.36
1950,Wuhan,China,17.02
1951,Wuhan,China,16.96
1952,Wuhan,China,16.89
1953,Wuhan,China,17.46
1954,Wuhan,China,16.51
1955,Wuhan,China,16.90
1956,Wuhan,China,16.50
1957,Wuhan,China,16.49
1958,Wuhan,China,16.95
1959,Wuhan,China,17.36
1960,Wuhan,China,17.12
1961,Wuhan,China,17.81
1962,Wuhan,China,17.11
1963,Wuhan,China,17.47
1964,Wuhan,China,17.14
1965,Wuhan,China,17.03
1966,Wuhan,China,17.30
1967,Wuhan,China,16.80
1968,Wuhan,China,17.28
1969,Wuhan,China,16.45
1970,Wuhan,China,16.60
1971,Wuhan,China,16.74
1972,Wuhan,China,16.64
1973,Wuhan,China,17.13
1974,Wuhan,China,16.88
1975,Wuhan,China,17.08
1976,Wuhan,China,16.65
1977,Wuhan,China,16.94
1978,Wuhan,China,17.61
1979,Wuhan,China,17.53
1980,Wuhan,China,16.63
1981,Wuhan,China,16.85
1982,Wuhan,China,16.88
1983,Wuhan,China,17.15
1984,Wuhan,China,16.40
1985,Wuhan,China,16.81
1986,Wuhan,China,17.03
1987,Wuhan,China,17.17
1988,Wuhan,China,17.04
1989,Wuhan,China,16.78
1990,Wuhan,China,17.65
1991,Wuhan,China,16.91
1992,Wuhan,China,17.15
1993,Wuhan,China,16.65
1994,Wuhan,China,17.54
1995,Wuhan,China,17.33
1996,Wuhan,China,16.90
1997,Wuhan,China,17.43
1998,Wuhan,China,18.16
1999,Wuhan,China,17.61
2000,Wuhan,China,17.44
2001,Wuhan,China,17.69
2002,Wuhan,China,17.79
2003,Wuhan,China,17.48
2004,Wuhan,China,17.97
2005,Wuhan,China,17.55
2006,Wuhan,China,18.03
2007,Wuhan,China,18.24
2008,Wuhan,China,17.60
2009,Wuhan,China,17.82
2010,Wuhan,China,17.57
2011,Wuhan,China,17.39
2012,Wuhan,China,17.15
2013,Wuhan,China,19.29
1841,Wuxi,China,14.87
1842,Wuxi,China,15.43
1843,Wuxi,China,15.53
1844,Wuxi,China,15.33
1845,Wuxi,China,15.43
1846,Wuxi,China,15.85
1847,Wuxi,China,15.78
1848,Wuxi,China,15.02
1849,Wuxi,China,15.44
1850,Wuxi,China,15.60
1851,Wuxi,China,15.22
1852,Wuxi,China,15.44
1853,Wuxi,China,15.79
1854,Wuxi,China,15.99
1855,Wuxi,China,15.84
1856,Wuxi,China,15.55
1857,Wuxi,China,15.93
1858,Wuxi,China,15.49
1859,Wuxi,China,15.64
1860,Wuxi,China,15.05
1861,Wuxi,China,15.29
1862,Wuxi,China,14.47
1863,Wuxi,China,15.20
1864,Wuxi,China,14.85
1865,Wuxi,China,15.72
1866,Wuxi,China,15.54
1867,Wuxi,China,15.95
1868,Wuxi,China,15.86
1869,Wuxi,China,16.09
1870,Wuxi,China,15.95
1871,Wuxi,China,16.31
1872,Wuxi,China,16.12
1873,Wuxi,China,15.74
1874,Wuxi,China,15.68
1875,Wuxi,China,15.47
1876,Wuxi,China,15.60
1877,Wuxi,China,15.43
1878,Wuxi,China,15.46
1879,Wuxi,China,16.13
1880,Wuxi,China,15.28
1881,Wuxi,China,15.63
1882,Wuxi,China,15.54
1883,Wuxi,China,15.41
1884,Wuxi,China,14.92
1885,Wuxi,China,14.91
1886,Wuxi,China,15.06
1887,Wuxi,China,15.65
1888,Wuxi,China,15.87
1889,Wuxi,China,15.30
1890,Wuxi,China,16.22
1891,Wuxi,China,15.72
1892,Wuxi,China,15.43
1893,Wuxi,China,15.13
1894,Wuxi,China,16.23
1895,Wuxi,China,15.27
1896,Wuxi,China,15.73
1897,Wuxi,China,15.60
1898,Wuxi,China,16.33
1899,Wuxi,China,15.84
1900,Wuxi,China,15.80
1901,Wuxi,China,15.26
1902,Wuxi,China,16.27
1903,Wuxi,China,15.56
1904,Wuxi,China,15.64
1905,Wuxi,China,15.50
1906,Wuxi,China,15.50
1907,Wuxi,China,15.57
1908,Wuxi,China,15.67
1909,Wuxi,China,15.84
1910,Wuxi,China,15.26
1911,Wuxi,China,15.48
1912,Wuxi,China,15.61
1913,Wuxi,China,15.36
1914,Wuxi,China,16.52
1915,Wuxi,China,16.11
1916,Wuxi,China,15.75
1917,Wuxi,China,15.09
1918,Wuxi,China,15.55
1919,Wuxi,China,15.93
1920,Wuxi,China,16.02
1921,Wuxi,China,15.58
1922,Wuxi,China,16.11
1923,Wuxi,China,15.77
1924,Wuxi,China,15.72
1925,Wuxi,China,15.65
1926,Wuxi,China,16.04
1927,Wuxi,China,16.13
1928,Wuxi,China,16.03
1929,Wuxi,China,15.96
1930,Wuxi,China,16.06
1931,Wuxi,China,15.64
1932,Wuxi,China,16.04
1933,Wuxi,China,15.91
1934,Wuxi,China,15.85
1935,Wuxi,China,16.33
1936,Wuxi,China,15.28
1937,Wuxi,China,16.09
1938,Wuxi,China,16.32
1939,Wuxi,China,16.13
1940,Wuxi,China,16.25
1941,Wuxi,China,16.39
1942,Wuxi,China,16.21
1943,Wuxi,China,16.01
1944,Wuxi,China,16.14
1945,Wuxi,China,15.91
1946,Wuxi,China,16.70
1947,Wuxi,China,15.87
1948,Wuxi,China,16.49
1949,Wuxi,China,16.56
1950,Wuxi,China,16.40
1951,Wuxi,China,16.18
1952,Wuxi,China,16.10
1953,Wuxi,China,17.03
1954,Wuxi,China,15.85
1955,Wuxi,China,16.06
1956,Wuxi,China,15.61
1957,Wuxi,China,15.60
1958,Wuxi,China,16.07
1959,Wuxi,China,16.54
1960,Wuxi,China,16.60
1961,Wuxi,China,17.02
1962,Wuxi,China,16.11
1963,Wuxi,China,16.20
1964,Wuxi,China,16.58
1965,Wuxi,China,16.06
1966,Wuxi,China,16.50
1967,Wuxi,China,16.05
1968,Wuxi,China,16.13
1969,Wuxi,China,15.64
1970,Wuxi,China,15.82
1971,Wuxi,China,16.22
1972,Wuxi,China,15.71
1973,Wuxi,China,16.32
1974,Wuxi,China,15.93
1975,Wuxi,China,16.48
1976,Wuxi,China,15.71
1977,Wuxi,China,16.17
1978,Wuxi,China,16.67
1979,Wuxi,China,16.54
1980,Wuxi,China,15.57
1981,Wuxi,China,15.91
1982,Wuxi,China,16.20
1983,Wuxi,China,16.22
1984,Wuxi,China,15.80
1985,Wuxi,China,16.04
1986,Wuxi,China,15.94
1987,Wuxi,China,16.19
1988,Wuxi,China,16.17
1989,Wuxi,China,16.24
1990,Wuxi,China,17.26
1991,Wuxi,China,16.14
1992,Wuxi,China,16.14
1993,Wuxi,China,15.98
1994,Wuxi,China,17.34
1995,Wuxi,China,16.36
1996,Wuxi,China,16.21
1997,Wuxi,China,16.76
1998,Wuxi,China,17.56
1999,Wuxi,China,16.68
2000,Wuxi,China,16.90
2001,Wuxi,China,16.93
2002,Wuxi,China,17.22
2003,Wuxi,China,16.74
2004,Wuxi,China,17.24
2005,Wuxi,China,16.75
2006,Wuxi,China,17.41
2007,Wuxi,China,17.63
2008,Wuxi,China,16.72
